;meta[language=en]
; id      |key(hex)|key(str)                                                     | source                                                           | type                |actor| text
;0001192021|||generic definitions|localized string||Quite true.
2115940050|||generic definitions|localized string||Arha'an lumar!
2115940051|||generic definitions|localized string||Cais'te aet disgleir!
2115940052|||generic definitions|localized string||Gveryd me cassel!
2115940053|||generic definitions|localized string||Greame et dwyr!
2115940054|||generic definitions|localized string||Rhobeir'me gelle!
2115940055|||generic definitions|localized string||Greame et dwyr!
2115940056|||generic definitions|localized string||Ess pyr'shena a et cleytte!
2115940057|||generic definitions|localized string||Nevid! Ariva!
2115940058|||generic definitions|localized string||Agored, teirgan.
2115940059|||generic definitions|localized string||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||generic definitions|localized string||I sense a great power within me… But I need to learn how to channel it. I need a teacher.
2115940061|||generic definitions|localized string||Interesting, maybe there is some magic in that place. I should check.
2115940062|||generic definitions|localized string||The Megascope crystal! And the magical trail clearly points to its source. I shall try to conjure a portal to that location.
2115940063|||generic definitions|localized string||Wow, what place is this?
2115940064|||generic definitions|localized string||A powerful flow of magic emanates from this stone…
2115940065|||generic definitions|localized string||Oh, no, not that!
2115940066|||generic definitions|localized string||*shriek*
2115940067|||generic definitions|localized string||Oh…
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||generic definitions|localized string||You saved me life. Who might you be? And where the blazes am I?
; female comment
2115940069|||generic definitions|localized string||Wish I were a sorceress…
; male comment
2115940081|||generic definitions|localized string||Wish I were a sorceress…
; Who created you?
2115940070|||generic definitions|localized string||Qued se creoest?
; Go to me!
2115940071|||generic definitions|localized string||Caem a me!
; Calm down, girl
2115940072|||generic definitions|localized string||Caelm, luned.
; Purifying the blood from poison
2115940073|||generic definitions|localized string||Aeksin a'bloed vort nimh!
2115940074|||generic definitions|localized string||Hey, can you hear me?
2115940075|||generic definitions|localized string||D'yaebl! She's still dying…
; I breathe life into you
2115940076|||generic definitions|localized string||Me aedit'ef a'vita as te!
2115940077|||generic definitions|localized string||Maith.
; swears
2115940078|||generic definitions|localized string||An'badraigh aen cuach.
2115940079|||generic definitions|localized string||Gar'ean!
2115940080|||generic definitions|localized string||Ess'tuath esse!
; 
2115940850|||generic definitions|localized string||Cead, luned. Conas esseath aelaedde?
2115940851|||generic definitions|localized string||I'm fine, thank you. Do you speak the Common Tongue?
2115940852|||generic definitions|localized string||Squaess… Excuse me. I've taken to speakin' to meself in Hen Llinge.
2115940853|||generic definitions|localized string||Where am I? This ship and icy environment…
2115940854|||generic definitions|localized string||…are floating mid-air, true. I've been exploring the origins of a formidable magic intersection, which was located in the ice of the North Sea.
2115940855|||generic definitions|localized string||Was located?
2115940856|||generic definitions|localized string||Yes, when I tried to manipulate the flow of magic towards the air element, it rupted the space and whisked me away to this spot, along with everything' ye now witness.
2115940857|||generic definitions|localized string||It appears that the intersection is produced by that stone. At times, the flow becomes unruly, attractin' hostile creatures.
2115940858|||generic definitions|localized string||So it seems I've stirred up a surge in the flow…
2115940859|||generic definitions|localized string||Hahaha, indeed. Every time I make contact with the stone, a like event takes place. It's reminiscent of the workings of Alzur's Double Cross magic, I'd say.
2115940860|||generic definitions|localized string||Now I reckon I understand. Well, probably, at least…
; greetings to apprentice
2115940861|||generic definitions|localized string||Cead, my young apprentice.
2115940862|||generic definitions|localized string||A pleasure to witness the presence of the most formidable sorceress… aboard this ship.
2115940863|||generic definitions|localized string||Warms me heart to lay eyes upon my apprentice.
; greetings common
2115940864|||generic definitions|localized string||Greetings.
2115940865|||generic definitions|localized string||Welcome back!
; exit
2115940867|||generic definitions|localized string||See you later.
2115940868|||generic definitions|localized string||Farewell.
2115940869|||generic definitions|localized string||So long.
; teaching dialogs
2115940870|||generic definitions|localized string||I would like to become your apprentice.
2115940871|||generic definitions|localized string||Tell me about yourself.
2115940872|||generic definitions|localized string||How unexpected… Why? Undoubtedly, you could have acquired more knowledge at Aretuza.
2115940873|||generic definitions|localized string||I was banished from that place.
2115940874|||generic definitions|localized string||The weight of their relentless demands became too much for me to endure.
2115940875|||generic definitions|localized string||Was it because you dabbled in forbidden arts?
2115940876|||generic definitions|localized string||Yes, I summoned a demon.
2115940877|||generic definitions|localized string||Yes, I dared to tinker with necromancy.
2115940878|||generic definitions|localized string||No, I killed a teacher by an accident.
2115940879|||generic definitions|localized string||No, I'd rather not speak of it.
2115940880|||generic definitions|localized string||I lost control over it almost immediately, and ere rector could halt the demon, it killed several novices…
2115940881|||generic definitions|localized string||And to accomplish this, I pilfered magic crystals from our mentor's megascope…
2115940882|||generic definitions|localized string||Do you now carry regret for what you've done?
2115940883|||generic definitions|localized string||Yes, very much.
2115940884|||generic definitions|localized string||Not really.
2115940885|||generic definitions|localized string||It was crucial for me to hear those words.
2115940886|||generic definitions|localized string||You failed to grasp that lesson, hence ye shall not learn mine either.
2115940887|||generic definitions|localized string||Hope I ain't meant to be the next…
2115940888|||generic definitions|localized string||Well, sure not!
2115940889|||generic definitions|localized string||As you wish.
2115940890|||generic definitions|localized string||I comprehend you well enough.
2115940891|||generic definitions|localized string||Hmm… 'Tis been quite some time since I last took on apprentices…
2115940892|||generic definitions|localized string||Please! I… I will not fail you.
2115940893|||generic definitions|localized string||Well, first you must demonstrate your readiness.
2115940894|||generic definitions|localized string||I shall pose a few questions to you.
2115940895|||generic definitions|localized string||What is Magic?
2115940896|||generic definitions|localized string||What mages were responsible for the creation of the first witchers?
2115940897|||generic definitions|localized string||Who was the first human sorceress and a virtuoso of air magic?
2115940898|||generic definitions|localized string||What type of magic grants the ability to perceive the current fate of individuals?
