;meta[language=ru]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
;0001192021|||Quite true.
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
2115940060|||Я ощущаю огромную силу внутри себя… Но мне нужно научиться направлять её. Мне нужен наставник.
2115940061|||Любопытно, возможно в этом месте есть какая-то магия. Мне следует проверить.
2115940062|||Кристалл мегаскопа! И магический след явно указывает на источник. Попробую открыть портал в это место.
2115940063|||Ого, что это за место?
2115940064|||От этого камня исходит мощный поток магии…
2115940065|||О нет, только не это!
2115940066|||*вскрик*
2115940067|||Ох…
; *shriek*
2115940068|||Вы спасли мне жизнь. Кто вы? И где я, черт возьми, нахожусь?
; female comment
2115940069|||Вот бы я была чародейкой…
; male comment
2115940081|||Вот бы я был чародейкой…
; Who created you?
2115940070|||Qued se creoest?
; Go to me!
2115940071|||Caem a me!
; Calm down, girl
2115940072|||Caelm, luned.
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Эй, ты меня слышишь?
2115940075|||D'yaebl! Она всё ещё умирает…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
; 
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||Я в порядке, спасибо. Ты говоришь на Всеобщем Языке?
2115940852|||Squaess… Извиняюсь. Я привык говорить сам с собой на Hen Llinge.
2115940853|||Где я? Этот корабль, и ледяное окружение…
2115940854|||…парят в воздухе, верно. Я изучал происхождение внушительную магическую интерсекцию, которая находилась во льдах Северного моря.
2115940855|||Находилась?
2115940856|||Да, когда я попытался сместить поток магии в сторону стихии Воздуха, он разорвал пространство и перенёс меня сюда, вместе со всем, что ты сейчас наблюдаешь.
2115940857|||Похоже, что интерсекция образуется из-за этого камня. Временами поток становится неуправляемым, привлекая враждебных существ.
2115940858|||Получается, я вызвала всплеск в потоке…
2115940859|||Ха-ха-ха, точно. Каждый раз, когда я вступаю в контакт с камнем, происходит нечто подобное. Я бы сказал, что это напоминает действие магии двойного креста Альзура.
2115940860|||Теперь, думаю, я понимаю. Ну, наверное, по крайней мере…
; greetings to apprentice
2115940861|||Cead, моя юная ученица.
2115940862|||Приятно наблюдать присутствие самой могущественной чародейки… на этом корабле.
2115940863|||Когда я лицезрею свою ученицу, это согревает мне сердце.
; greetings common
2115940864|||Приветствую.
2115940865|||Добро пожаловать!
; exit
2115940867|||Ещё увидимся.
2115940868|||Прощай.
2115940869|||До встречи.
; teaching dialogs
2115940870|||Я бы хотела стать твоей ученицей.
2115940871|||Расскажи мне о себе.
2115940872|||Как неожиданно… Почему? Несомненно, ты могла бы получить больше знаний в Аретузе.
2115940873|||Меня исключили оттуда.
2115940874|||Тяжесть их безжалостных требований стала для меня невыносимой.
2115940875|||Потому что ты баловалась запретными искусствами?
2115940876|||Да, я призвала демона.
2115940877|||Да, я осмелилась попробовать некромантию.
2115940878|||Нет, я случайно убила учителя.
2115940879|||Нет, я бы не хотела об этом говорить.
2115940880|||Я почти сразу потеряла над ним контроль, и прежде чем ректор остановила его, демон убил несколько начинающих учениц…
2115940881|||И чтобы сделать это, я стащила магические кристаллы из мегаскопа нашей наставницы…
2115940882|||Сожалеешь ли ты сейчас о содеянном?
2115940883|||Да, очень сильно.
2115940884|||Не особо.
2115940885|||Для меня было крайне важно услышать эти слова.
2115940886|||Ты не смогла усвоить тот урок, следовательно, не сможешь усвоить и мой.
2115940887|||Надеюсь, я не стану следующим…
2115940888|||Ну конечно нет!
2115940889|||Как пожелаешь.
2115940890|||Как хорошо я тебя понимаю.
2115940891|||Хмм… Прошло довольно много времени с тех пор, как я в последний раз брал учеников…
2115940892|||Пожалуйста! Я… Я не подведу тебя.
2115940893|||Что ж, сначала ты должна продемонстрировать свою готовность.
2115940894|||Я задам тебе несколько вопросов.
2115940895|||Что такое Магия?
2115940896|||Кто из чародеев создал первых ведьмаков?
2115940897|||Кто был первой женщиной-чародеем и мастером стихии Воздуха?
2115940898|||Какой тип магии позволяет предсказывать судьбы людей?
2115940899|||Почему искусство некромантии было запрещено?
2115940900|||Из какой стихии ведьмачий знак Квен черпает свою силу?
2115940901|||Из всех стихий, какая считается наиболее опасной?
; master dialogs
2115940902|||Тебе нужно ещё подготовиться. Можешь использовать мою библиотеку на корабле.
2115940903|||Неужели вас в Аретузе совсем ничему не учат? Ты умудрилась ответить неправильно на все мои вопросы.
2115940904|||Очень хорошо, ты подготовлена. И ты уже ознакомлена с базовыми заклинаниями.
2115940905|||Ты можешь изучить новые продвинутые заклинания или улучшить те, которые уже знаешь.
2115940906|||Помни, что ты должна успешно применить каждое новое заклинание несколько раз, прежде чем переходить к следующему.
2115940907|||Прежде чем двигаться дальше, ты дальше попрактиковаться в том заклинании, что мы изучали в прошлый раз.
2115940908|||Твой уровень магии всё ещё недостаточный для новых заклинаний.
2115940909|||Кстати, ты достигля уровня, достаточного для изучения новых заклинаний.
2115940910|||Ты должна выбрать, какое именно интересует тебя.
2115940911|||Ясно. Я расскажу тебе о том, как применить это заклинание, и твоя задача - попрактиковаться и овладеть им в совершенстве.
2115940912|||Понял. Сейчас я объясню, как применить это заклинание, и твоя обязанность будет заключаться в том, чтобы отработать его на практике.
2115940913|||Я обучил тебя всем продвинутым заклинаниям. Это означает, что больше мне нечему тебя учить.
2115940914|||Называй меня как Айнеран. Мой отец, опытный моряк, часто брал меня в свои морские экспедиции. Однако в один роковой день сильный шторм безжалостно разбил наш корабль.
2115940915|||Среди хаоса, обломков корабля и тонущих моряков меня поглотила ослепительная вспышка, и я очнулся в глубине лесов Каэдвена.
2115940916|||В тот день я потерял отца, но судьба подарила мне шанс учиться в уважаемой академии магов. Хотя на последнем курсе обстоятельства вынудили меня покинуть Бан Ард…
2115940917|||С тех пор я занялся исследованием магических аномалий и интерсекций. Намеренно держась подальше от дворцовых интриг и невежества толпы.
2115940918|||Я хотела бы выучить новые заклинания.
2115940919|||Не мог бы ты, пожалуйста, напомнить мне, как применить…
2115940985|||О моих успехах в практике…
; sorceress answers
; q0
2115940920|||Энергия 6 стихий.
2115940921|||Яркие вспышки и искры.
2115940922|||Искусство и наука управления хаосом.
2115940923|||Простой способ получить то, чего хочешь.
; q1A
2115940924|||Джеоффрей Монк и Раффар Белый.
2115940925|||Альзур и Косимо Маласпина.
