;meta[language=en]
; id      |key(hex)|key(str)| text
;    358190|00000000||Sorceress
;    452675|00000000||Witcher
;2115940101|00000000||Witcheress
2115940000|00000000||Игрок
2115940001|00000000||Игрок
2115940002|00000000||Игрок
2115940003|00000000||Целестин
2115940004|00000000||MOD questgroup_newreplacers Quests
2115940005|00000000||Стать Архимагистром.
2115940006|00000000||Попрактиковать заклинание Грома Альзура 5 раз.
2115940007|00000000||Попрактиковать заклинание Контроля 7 раз.
2115940008|00000000||Попрактиковать заклинание Гравитационного поля 5 раз.
2115940009|00000000||Попрактиковать телепорт быстрого перемещения 3 раз.
2115940010|00000000||Попрактиковать тяжёлые атаки 13 раз.
2115940011|00000000||Попрактиковать заклинание Огня Мелгара 5 раз.
2115940012|00000000||Попрактиковать заклинание Метеора 7 раз.
2115940013|00000000||Попрактиковать заклинание Полиморфизма 3 раз.
2115940014|00000000||Попрактиковать заклинание Прислужника 7 раз.
2115940015|00000000||Попрактиковать заклинание Щита 7 раз.
2115940016|00000000||Попрактиковать заклинание Торнадо 7 раз.
2115940017|00000000||Проверить доску объявлений.
2115940018|00000000||Победить монстров.
2115940019|00000000||Войти в телепорт.
2115940020|00000000||Исследовать область.
2115940021|00000000||Исследовать магический камень.
2115940022|00000000||Поговорить с чародеем.
2115940023|00000000||Айниэран согласился стать ее учителем, чтобы помочь разобраться в тонкостях управления хаосом.<br>
2115940024|00000000||Таинственного мага-отшельника звали Айниэран, он изучал природу аномального камня, когда тот телепортировал его и корабль в окрестности Белого сада.<br>
2115940025|00000000||Исследуя окрестности, чародейка наткнулась на кристалл с ощутимым магическим следом. След привел её к магическому кораблю, парящему в воздухе на ледяной платформе. Очевидно, источником аномалии был магический камень, прикоснувшись к которому, чародейка вызвала монстров. Схватка с ними могла бы закончиться плачевно, если бы не появление незнакомого мага.<br>
2115940026|00000000||Прочитав объявление, чародейка заподозрила интересное дело.<br>
2115940027|00000000||Ваш Путь Магии начинается.<br>
2115940028|00000000||Становление Архимагистра
2115940029|00000000|item_name_newreplacers_notices_sorceress_training_notice|Будьте осторожны по дороге в Вызиму
2115940030|00000000|item_desc_newreplacers_notices_sorceress_training_notice|Заметки о странных делах по дороге в Вызиму.
2115940031|00000000|item_name_newreplacers_notices_sorceress_training_notice_text|Люди добрые! Будьте внимательны по дороге в Вызиму!<br>Я как в прошлый раз к дочке ездил, так надо мной как громыхнуло, полыхнуло, что у меня лошадь аж в кусты ринулась. И на миг куча льда в небе появилась, а потом исчезла.<br>Скажете показалось попьяни, да вот только трезвый я был в тот день!<br>
2115940032|00000000|dlc_name_newreplacers|Пользовательские Персонажи Игрока
2115940033|00000000|option_dlc_name_newreplacers|МОД: Пользовательские Персонажи Игрока
2115940034|00000000|content_name_dlc_newreplacers|МОД: Пользовательские Персонажи Игрока
